listing_id,city,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,availability_rate,avg_min_nights,avg_max_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable,estimated_occupancy_l365d,estimated_revenue_l365d,amenities_count
986135122407286693,twin_cities,Hennepin,Entire rental unit,entire home/apt,3,2,2,120,1,255,0.6986301369863014,1,1125,103,4.95,4.89,4.88,t,f,255,30600,59
1224945780627591665,twin_cities,Dakota,Entire home,entire home/apt,6,3,4,144,5,135,0.3698630136986301,5,1125,19,4.95,4.95,4.95,t,f,190,27360,55
556669257621844060,twin_cities,Wright,Entire cottage,entire home/apt,6,1,2,180,1,50,0.136986301369863,1,31,48,4.98,4.88,4.96,f,t,48,8640,58
860528687748074242,twin_cities,Hennepin,Entire home,entire home/apt,8,4,0,155,1,57,0.15616438356164383,1.284931506849315,1125,33,4.67,4.76,4.73,f,t,72,11160,57
958953616484288299,twin_cities,Anoka,Entire home,entire home/apt,4,2,2,329,1,133,0.3643835616438356,1,703.8301369863013,86,5,4.95,4.91,f,t,198,65142,67
1443721073492492284,twin_cities,Ramsey,Entire home,entire home/apt,4,2,2,91,1,244,0.6684931506849315,1,365,9,4.56,4.56,4.22,null,f,54,4914,36
732610563733385698,twin_cities,Wright,Entire home,entire home/apt,10,4,6,263,4,204,0.5589041095890411,4.241095890410959,14,55,4.95,4.89,4.73,t,f,136,35768,62
994986020862444391,twin_cities,Dakota,Entire guest suite,entire home/apt,4,1,4,83,1,179,0.4904109589041096,1,1125,33,4.82,4.94,4.82,t,f,66,5478,50
38330774,twin_cities,Hennepin,Entire condo,entire home/apt,2,0,1,62,30,256,0.7013698630136986,30,1125,6,4.83,4.83,5,f,f,0,0,38
644915249284328547,twin_cities,Pierce,Entire condo,entire home/apt,6,2,3,205,1,50,0.136986301369863,1,1125,52,4.9,4.88,4.94,t,f,138,28290,57
833363400738218379,twin_cities,Hennepin,Entire home,entire home/apt,8,3,5,238,3,62,0.16986301369863013,3.0136986301369864,1125,99,4.94,4.95,4.92,t,f,252,59976,79
851979914197305934,twin_cities,Ramsey,Entire home,entire home/apt,8,4,4,113,1,129,0.35342465753424657,1.8602739726027397,180,78,4.94,4.95,4.88,t,f,126,14238,47
899984097882945127,twin_cities,Hennepin,Entire home,entire home/apt,8,3,5,195,2,338,0.9260273972602739,1,1125,68,4.82,4.9,4.69,null,f,162,31590,64
993709851308422157,twin_cities,Sibley,Entire cabin,entire home/apt,5,1,3,88,1,264,0.7232876712328767,1,14,17,5,4.94,4.94,t,f,78,6864,45
