listing_id,city,neighborhood,room_type,price,median_neighborhood_price,price_gap_pct,occupancy_rate,occupancy_rank_percentile,amenity_score,review_rank_percentile,competitive_score,peak_month,peak_occupancy_rate
15132653,chicago,Lake View,entire home/apt,236,181,30.39,0.3778,44.66,38.27,89.67,46.8,8,0.5277
1147687647342159441,chicago,Near North Side,entire home/apt,225,219,2.74,0.6556,72.34,45.05,61.36,55.25,12,0.4097
722392209236655356,chicago,Logan Square,private room,71,65,9.23,0.6444,68.75,53.33,56.36,53.41,8,0.531
844199899790461053,chicago,Jefferson Park,entire home/apt,63,109,-42.2,0.5444,62.94,45.68,69.77,69.11,8,0.4471
1064759719148784948,chicago,Brighton Park,entire home/apt,257,95,170.53,0.9556,96.21,85,23.98,46.49,12,0.3615
823273576559656432,chicago,Albany Park,entire home/apt,174,120,45,0.1222,16.44,60,58.66,34.45,8,0.4297
555041639366197657,chicago,Lincoln Park,entire home/apt,271,199,36.18,0.0667,9.04,74.68,90.69,47.3,8,0.4074
1266061914630362916,chicago,Woodlawn,private room,36,49,-26.53,0.4667,57.66,63.49,26.64,57.02,12,0.3911
617449893664696358,chicago,Norwood Park,entire home/apt,153,134,14.18,0.7667,78.96,60,28.06,48.55,8,0.4391
1341272526724076481,chicago,Near West Side,entire home/apt,190,211,-9.95,0.3444,42.77,38.1,0,36.06,12,0.3889
24085799,chicago,Armour Square,private room,66,44,50,0.8444,86.62,57.41,91.8,54.63,8,0.465
15149053,chicago,West Town,private room,102,71,43.66,0.6556,72.4,54.05,80.93,50.13,8,0.4327
1402293335810630371,chicago,West Garfield Park,private room,25,52,-51.92,0.0778,13.65,61.22,0.26,48.1,8,0.3506
1118958369669164796,chicago,West Town,shared room,50,50,0,0.0333,4.51,83.33,14.87,40.45,8,0.4327
1308301795181486711,chicago,Irving Park,entire home/apt,126,130,-3.08,0.6,66.94,66.67,11.3,48.8,8,0.4571
32934782,chicago,Near North Side,entire home/apt,318,219,45.21,0.2889,36.09,82.42,94.23,52.82,12,0.4097
51347437,chicago,Irving Park,private room,75,53,41.51,0.9,91.51,85.96,62.16,57.88,8,0.4571
43594534,chicago,Bridgeport,entire home/apt,100,131,-23.66,0.6667,75.33,42.35,32.33,55.84,12,0.3309
3083343,chicago,Logan Square,entire home/apt,177,143,23.78,0.6778,71.72,86.9,82.87,64.66,8,0.531
